Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Mark Gluhovsky,118.0,1.5,122.34,5.0,1.5,110.6,1.53,2161,2178,190,3,2,37.04,26.91,0.63,132.28,-2.13,1.65,1.28,115.9,121.2,1.0,0.5,7.52,724.23,0.39,17498.54
Elmira Mirzoeva,117.7,1.75,121.61,3.0,2.0,140.3,1.47,2152,1977,148,2,1,15.18,49.57,0.78,187.69,-2.15,2.06,1.15,100.6,152.0,1.0,1.0,5.26,2456.74,0.62,35228.29
Jinghan Cameron Goh,117.6,1.23,32.31,11.0,1.0,132.2,0.99,2039,1962,492,5,6,18.11,29.1,0.78,36.46,-2.16,1.62,0.91,105.1,128.0,0.0,1.0,13.56,846.53,0.6,1329.28
Wadim Rosenstein,117.4,1.56,97.7,20.0,10.5,134.4,1.3,1722,1701,824,10,10,30.19,44.12,1.15,130.31,-2.16,1.47,1.64,123.4,111.5,6.5,4.0,31.17,1946.9,1.33,16979.55
Anna Muzychuk,117.4,1.55,75.26,8.0,5.0,125.2,1.44,2406,2248,350,4,4,27.96,42.88,1.18,142.28,-2.16,1.06,2.04,131.4,103.4,2.5,2.5,12.4,1839.05,1.38,20244.16
Stakhey Sedykh,117.4,1.11,227.28,6.0,0.0,122.0,0.99,1715,1632,248,2,4,66.83,24.38,0.66,352.87,-2.16,1.73,0.8,95.0,128.6,0.0,0.0,6.68,594.59,0.43,124520.48
Eline Roebers,117.4,1.63,64.59,14.0,9.5,142.6,1.26,2349,2253,632,8,6,34.72,52.83,1.49,94.32,-2.17,1.14,2.29,134.8,94.2,6.0,3.5,22.84,2791.1,2.22,8895.62
Anton Frank,117.2,1.47,149.62,13.0,4.5,131.9,1.06,2086,2242,558,6,7,30.21,39.07,0.94,157.36,-2.17,1.73,1.24,106.7,126.3,2.0,2.5,19.07,1526.16,0.89,24761.03
Alistair Hill,117.1,1.31,72.72,10.0,1.5,123.8,1.17,2107,2003,385,5,5,28.26,35.9,0.96,97.71,-2.18,1.76,0.86,103.0,131.3,0.5,1.0,13.09,1289.04,0.92,9547.61
Supratit Banerjee,117.0,1.45,94.7,11.0,5.0,128.5,1.7,2228,2267,516,7,4,43.89,46.87,1.23,104.35,-2.19,1.57,1.23,112.1,125.5,4.0,1.0,15.93,2196.92,1.51,10889.57
Bohdan Lobkin,116.9,1.78,102.88,7.0,5.0,141.1,1.45,1955,1988,328,4,3,49.27,38.68,0.8,127.74,-2.19,2.08,1.37,96.6,144.0,2.0,3.0,12.44,1495.95,0.64,16318.56
