Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Maxime Vachier-Lagrave,162.53,0.16,4.01,9.0,6.5,162.2,0.08,2731.0,2768.0,371.0,4.0,5.0,3.41,3.43,0.34,3.27,0.27,0.34,0.02,162.78,162.34,3.5,3.0,1.48,11.77,0.25,0.03,0.19,0.11,10.71
Rauf Mamedov,158.82,0.27,7.07,9.0,6.5,159.6,0.25,2637.0,2665.0,341.0,4.0,5.0,6.76,5.96,0.23,4.73,0.07,0.21,0.33,160.9,157.16,3.5,3.0,2.46,35.55,0.11,0.1,0.32,0.05,22.34
Xiangzhi Bu,158.21,0.22,5.56,9.0,5.0,161.8,0.05,2693.0,2601.0,338.0,3.0,6.0,3.21,11.2,0.48,7.4,0.04,0.01,0.33,162.0,156.32,1.5,3.5,2.01,125.48,0.23,0.36,0.6,0.23,54.71
Peter Leko,156.53,0.32,6.38,9.0,4.5,162.3,0.13,2666.0,2617.0,386.0,4.0,5.0,4.43,17.27,0.49,6.7,-0.06,0.2,0.42,162.22,151.98,2.5,2.0,2.87,298.35,0.26,0.87,0.93,0.24,44.88
Ruslan Ponomariov,156.19,0.41,7.21,9.0,5.5,159.8,0.29,2654.0,2657.0,389.0,4.0,5.0,5.94,9.03,0.42,4.2,-0.07,0.4,0.42,155.45,156.78,3.0,2.5,3.7,81.6,0.12,0.24,0.49,0.18,17.64
Frederik Svane,155.41,0.56,6.96,9.0,8.0,159.4,0.56,2640.0,2801.0,534.0,5.0,4.0,4.75,13.06,0.65,4.96,-0.12,0.73,0.34,152.16,159.48,4.5,3.5,5.03,170.53,0.1,0.49,0.7,0.42,24.62
Quang Liem Le,155.4,0.53,35.1,9.0,5.0,159.7,0.59,2741.0,2717.0,436.0,5.0,4.0,7.13,9.47,0.38,85.32,-0.12,0.56,0.48,150.8,161.15,2.0,3.0,4.74,89.6,0.11,0.26,0.51,0.15,7279.53
Leinier Dominguez Perez,155.33,0.38,36.07,9.0,5.5,161.0,0.41,2748.0,2650.0,393.0,4.0,5.0,2.88,12.65,0.36,88.97,-0.12,0.24,0.49,160.25,151.4,3.0,2.5,3.42,160.06,0.18,0.46,0.68,0.13,7916.13
Jan-Krzysztof Duda,155.23,0.55,8.24,9.0,5.5,159.2,0.51,2732.0,2683.0,410.0,4.0,5.0,7.36,10.37,0.47,6.42,-0.13,0.69,0.43,153.35,156.74,2.5,3.0,4.92,107.47,0.09,0.31,0.56,0.22,41.16
Michael Adams,154.62,0.43,8.33,9.0,6.0,159.8,0.04,2661.0,2637.0,383.0,5.0,4.0,5.05,16.77,0.68,8.61,-0.16,0.61,0.2,149.44,161.1,3.5,2.5,3.83,281.18,0.12,0.82,0.9,0.46,74.08
Anton Korobov,154.09,0.57,11.04,9.0,6.5,159.5,0.5,2650.0,2711.0,355.0,6.0,3.0,12.37,14.41,0.55,5.33,-0.19,0.67,0.37,155.32,151.63,5.0,1.5,5.16,207.61,0.11,0.6,0.78,0.3,28.44
Pouya Idani,153.87,0.45,47.14,9.0,6.0,158.3,0.37,2599.0,2608.0,445.0,4.0,5.0,5.5,13.9,0.47,91.06,-0.2,0.19,0.66,161.18,148.02,3.5,2.5,4.04,193.19,0.04,0.56,0.75,0.23,8291.11
Aryan Tari,153.11,0.4,3.49,9.0,4.5,159.9,0.27,2642.0,2488.0,421.0,5.0,4.0,7.03,13.94,0.47,85.36,-0.24,0.26,0.58,158.68,146.15,2.5,2.0,3.64,194.45,0.13,0.56,0.75,0.22,7286.41
Dmitrij Kollars,152.09,0.52,8.71,9.0,4.0,157.9,0.41,2659.0,2475.0,450.0,4.0,5.0,7.64,15.66,0.54,8.35,-0.3,0.79,0.3,142.9,159.44,1.5,2.5,4.69,245.26,0.02,0.71,0.85,0.29,69.67
Vincent Keymer,151.68,0.56,104.65,9.0,5.5,160.7,0.48,2730.0,2643.0,411.0,4.0,5.0,12.28,15.54,0.59,145.97,-0.32,0.45,0.65,160.62,144.52,4.0,1.5,5.06,241.58,0.17,0.7,0.84,0.35,21307.58
Alan Pichot,150.66,0.72,9.2,9.0,7.0,159.4,0.27,2628.0,2701.0,415.0,4.0,5.0,7.76,20.58,0.9,7.48,-0.37,1.18,0.35,142.0,157.58,4.0,3.0,6.45,423.5,0.1,1.23,1.11,0.81,55.93
Radoslaw Wojtaszek,149.71,0.71,11.2,9.0,5.0,154.6,0.7,2681.0,2601.0,348.0,5.0,4.0,12.05,12.17,0.52,7.76,-0.42,0.64,0.8,147.98,151.88,2.5,2.5,6.39,148.16,-0.16,0.43,0.66,0.27,60.28
Jorden Van Foreest,149.34,0.74,12.33,9.0,6.5,158.9,0.43,2696.0,2710.0,402.0,5.0,4.0,9.38,18.58,0.78,8.24,-0.44,0.91,0.53,144.18,155.8,3.0,3.5,6.66,345.28,0.07,1.01,1.0,0.6,67.92
Marc`Andria Maurizzi,148.03,0.7,22.74,9.0,5.5,159.2,0.41,2595.0,2566.0,421.0,4.0,5.0,5.16,19.89,0.77,43.04,-0.51,0.51,0.85,150.68,145.92,2.0,3.5,6.29,395.63,0.09,1.15,1.07,0.59,1852.19
Tuan Minh Tran,140.93,0.98,13.34,9.0,4.0,143.1,0.74,2434.0,2447.0,421.0,4.0,5.0,11.39,17.69,0.64,7.46,-0.9,1.24,0.78,135.15,145.56,2.0,2.0,8.84,313.05,-0.78,0.91,0.95,0.42,55.59
Alexandr Predke,137.98,1.37,10.31,9.0,5.0,141.4,1.52,2671.0,2680.0,630.0,4.0,5.0,11.9,25.41,1.13,8.67,-1.06,1.51,1.26,128.5,145.56,1.0,4.0,12.34,645.6,-0.87,1.87,1.37,1.27,75.18
