Player,avg_gi,avg_missed_points,TPR,Points,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,gi_std,missed_points_std,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum
Rudik Makarian,130.95,1.29,2516,5.5,132.9,1.11,2498,762,7,6,41.61,1.36,1.15,1.45,137.5,123.3,3.5,2
Aleksandr Rakhmanov,130.81,1.16,2484,7,146,0.89,2561,672,7,6,37,1.21,1.24,1.07,127.73,134.4,5,2
Michael Bezold,130.57,1.11,2272,5.5,121,1.39,2574,542,7,6,26.88,0.7,0.99,1.26,135.1,125.28,3.5,2
Reja Neer Manon,130.52,1.16,2411,5.5,131.1,0.97,2289,667,7,6,22.71,0.59,0.86,1.51,140.41,118.98,3.5,2
Alisher Suleymenov,130.26,1.26,2505,5.5,136.3,1,2413,812,6,7,28.46,0.89,1.72,0.85,118.78,140.1,2.5,3
Viktor Matviishen,130.08,1.1,2355,4,136.7,0.78,2436,627,7,6,30.35,0.84,0.94,1.27,137.04,121.97,3,1
Victor Bologan,129.69,1.22,2328,5,133.5,0.97,2540,659,6,7,25.97,0.94,1.04,1.38,132.37,127.4,2.5,2.5
Merab Gagunashvili,128.8,1.29,2293,6.5,123.8,1.15,2460,787,7,6,29.18,0.96,0.67,2.02,147.11,107.43,3.5,3
Adelard Bai,128.76,1.3,2507,5.5,126.2,1.14,2232,630,6,7,26.05,1.03,1.1,1.47,138.43,120.47,3.5,2
Juraj Druska,128.38,1.26,2353,4.5,136.3,1.15,2433,663,6,6,27.17,0.96,0.85,1.67,138.95,117.8,2,2.5
Mikhail Kobalia,128.28,1.27,2403,6.5,139.3,1.06,2522,725,7,6,35.08,1.1,1.67,0.79,119.63,138.38,4,2.5
Maksim Tsaruk,128.25,1.43,2530,6,128.45,1.58,2437,595,6,6,25.78,0.72,1.23,1.64,128.82,127.68,2.5,3.5
