Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Marcus R Harvey,150.9,0.97,15.84,9,5.5,152.8,0.68,2439,2422,513,5,4,15.21,9.31,0.66,9.7,-0.36,1.24,0.63,149.4,152.9,4.0,1.5,8.72,86.64,0.44,94.1
Stuart C Conquest,150.7,1.15,14.5,9,7.0,156.7,0.55,2511,2601,396,4,5,13.02,21.78,1.05,6.48,-0.37,1.56,0.82,140.2,159.1,2.5,4.5,10.32,474.55,1.1,41.98
Theo Khoury,150.4,0.89,57.99,9,4.5,163.8,0.56,2239,2162,330,5,4,16.46,23.99,1.08,90.78,-0.39,0.59,1.26,157.8,141.2,3.0,1.5,8.0,575.6,1.16,8241.51
Frederick Waldhausen Gordon,150.0,0.96,31.03,9,5.0,157.4,0.36,2393,2351,453,5,4,14.31,28.76,1.49,47.65,-0.41,0.45,1.6,162.1,134.8,3.5,1.5,8.67,827.28,2.21,2270.43
Harriet V Hunt,150.0,0.85,24.31,9,4.0,149.5,0.94,2294,2218,432,5,4,20.5,19.63,0.67,21.34,-0.41,1.03,0.64,144.1,157.4,1.5,2.5,7.69,385.34,0.44,455.41
Nigel R Davies,150.0,0.91,16.56,9,4.5,153.4,0.65,2291,2328,341,5,4,16.43,14.27,0.52,5.2,-0.41,0.63,1.26,153.3,145.8,2.0,2.5,8.2,203.72,0.27,27.02
Simon K Williams,149.7,0.98,14.74,9,5.0,152.8,0.85,2444,2279,442,5,4,14.18,17.19,0.82,9.86,-0.43,0.82,1.18,153.4,145.0,3.0,2.0,8.85,295.52,0.68,97.24
Elmira Mirzoeva,149.0,1.08,54.42,9,5.5,145.2,1.02,2282,2347,410,5,4,17.2,14.85,0.58,78.84,-0.47,1.22,0.9,146.1,152.6,3.0,2.5,9.69,220.63,0.34,6215.83
Jack Rudd,148.9,1.02,102.46,9,5.0,148.9,0.9,2259,2281,335,4,5,22.98,17.11,0.77,181.24,-0.47,0.92,1.1,152.1,146.4,2.5,2.5,9.21,292.59,0.59,32846.25
Frankie Badacsonyi,148.8,1.03,69.66,9,5.0,155.8,1.09,2193,2348,483,5,4,11.55,21.69,0.92,119.45,-0.47,1.09,0.95,146.6,151.5,2.5,2.5,9.25,470.44,0.84,14268.15
Henry Adams,148.6,1.04,17.78,9,5.0,151.9,0.92,2114,2324,397,4,5,13.7,26.04,1.06,13.64,-0.48,0.74,1.28,157.8,141.2,3.0,2.0,9.35,678.06,1.12,186.17
